Time, HInput, VInput, Distance
23.86458, 0, 1, 0
23.88198, 0, 1, 0
23.89804, 0, 1, 0
23.91475, 0, 1, 0
23.93164, 0, 1, 0
23.94851, 0, 1, 0
23.96486, 0, 1, 0
23.98155, 0, 1, 0
23.99814, 0, 1, 0
24.01477, 0, 1, 0
24.03175, 0, 1, 0
24.04829, 0, 1, 0
24.06471, 0, 1, 0
24.08126, 0, 1, 0
24.09823, 0, 1, 0
24.11473, 0, 1, 0
24.13157, 0, 1, 0
24.14805, 0, 1, 0
24.16495, 0, 1, 0
24.18151, 0, 1, 0
24.198, 0, 1, 0
24.21496, 0, 1, 0
24.23158, 0, 1, 0
24.24833, 0, 1, 0
24.26492, 0, 1, 0
24.28155, 0, 1, 0
24.29793, 0, 1, 0
24.31468, 0, 1, 0
24.33144, 0, 1, 0
24.34801, 0, 1, 0
24.36564, 0, 1, 0
24.38155, 0, 1, 0
24.3981, 0, 1, 0
24.41451, 0, 1, 0
24.43128, 0, 1, 0
24.44785, 0, 1, 0
24.46354, 0, 1, 0
24.48003, 0, 1, 0
24.49684, 0, 1, 0
24.51341, 0, 1, 0
24.5302, 0, 1, 0
24.54696, 0, 1, 0
24.56343, 0, 1, 0
24.58032, 0, 1, 0
24.59694, 0, 1, 0
24.61368, 0, 1, 0
24.63041, 0, 1, 0
24.6472, 0, 1, 0
24.66386, 0, 1, 0
24.68141, 0, 1, 0
24.69821, 0, 1, 0
24.71461, 0, 1, 0
24.73061, 0, 1, 0
24.74717, 0, 1, 0
24.76389, 0, 1, 0
24.78094, 0, 1, 0
24.79752, 0, 1, 0
24.81427, 0, 1, 0
24.83069, 0, 1, 0
24.84702, 0, 1, 0
24.86387, 0, 1, 0
24.88057, 0, 1, 0
24.89701, 0, 1, 0
24.91408, 0, 1, 0
24.93154, 0, 1, 0
24.94853, 0, 1, 0
24.96411, 0, 1, 0
24.9805, 0, 1, 0
24.99688, 0, 1, 0
25.01364, 0, 1, 0
25.03024, 0, 1, 0
25.04693, 0, 1, 0
25.06362, 0, 1, 0
25.08031, 0, 1, 0
25.09697, 0, 1, 0
25.11353, 0, 1, 0
25.13021, 0, 1, 0
25.1467, 0, 1, 0
25.16364, 0, 1, 0
25.18031, 0, 1, 0
25.19673, 0, 1, 0
25.21343, 0, 1, 0
25.23026, 0, 1, 0
25.24677, 0, 1, 0
25.26336, 0, 1, 0
25.27993, 0, 1, 0
25.29665, 0, 1, 0
25.31354, 0, 1, 0
25.33016, 0, 1, 0
25.34669, 0, 1, 0
25.36337, 0, 1, 0
25.38016, 0, 1, 0
25.39678, 0, 1, 0
25.41365, 0, 1, 0
25.43022, 0, 1, 0
25.44684, 0, 1, 0
25.46348, 0, 1, 0
25.48027, 0, 1, 0
25.49711, 0, 1, 0
25.5137, 0, 1, 0
25.53027, 0, 1, 0
25.54675, 0, 1, 0
25.56342, 0, 1, 0
25.5802, 0, 1, 0
25.59695, 0, 1, 0
25.61347, 0, 1, 0
25.63159, 0, 1, 0
25.64832, 0, 1, 0
25.66443, 0, 1, 0
25.68113, 0, 1, 0
25.69817, 0, 1, 0
25.71489, 0, 1, 0
25.73182, 0, 1, 0
25.74796, 0, 1, 0
25.76502, 0, 1, 0
25.78171, 0, 1, 0
25.7979, 0, 1, 0
25.8147, 0, 1, 0
25.83158, 0, 1, 0
25.84821, 0, 1, 0
25.86477, 0, 1, 0
25.88185, 0, 1, 0
25.89828, 0, 1, 0
25.91455, 0, 1, 0
25.93129, 0, 1, 0
25.94815, 0, 1, 0
25.96479, 0, 1, 0
25.98158, 0, 1, 0
25.9981, 0, 1, 0
26.0149, 0, 1, 0
26.03167, 0, 1, 0
26.04837, -0.05011532, 1, 0
26.06472, -0.09916423, 1, 0
26.08137, -0.1491162, 1, 0
26.09793, -0.1987973, 1, 0
26.11448, -0.2484367, 1, 0
26.13136, -0.2991004, 1, 0
26.14797, -0.348912, 1, 0
26.16462, -0.3988696, 1, 0
26.18134, -0.4490217, 1, 0
26.19788, -0.4986365, 1, 0
26.21458, -0.5487597, 1, 0
26.23129, -0.4986382, 1, 0
26.2481, -0.448201, 1, 0
26.26483, -0.3980232, 1, 0
26.28179, -0.3471398, 1, 0
26.29813, -0.2981317, 1, 0
26.31492, -0.2477451, 1, 0
26.33144, -0.1981851, 1, 0
26.34819, -0.1479381, 1, 0
26.36498, -0.09756806, 1, 0
26.38168, -0.04747546, 1, 0
26.39828, 0, 1, 0
26.41488, 0, 1, 0
26.43144, 0, 1, 0
26.44832, 0, 1, 0
26.46489, 0, 1, 0
26.48109, 0, 1, 0
26.49739, 0, 1, 0
26.51436, 0, 1, 0
26.53039, 0, 1, 0
26.54786, 0, 1, 0
26.56386, 0, 1, 0
26.58057, 0, 1, 0
26.59756, 0, 1, 0
26.61357, 0, 1, 0
26.63024, 0, 1, 0
26.64704, 0, 1, 0
26.66374, 0, 1, 0
26.68052, 0, 1, 0
26.69717, 0, 1, 0
26.71375, 0, 1, 0
26.73052, 0, 1, 0
26.74718, 0, 1, 0
26.76396, 0, 1, 0
26.78138, 0, 1, 0
26.79705, 0, 1, 0
26.81349, 0, 1, 0
26.83022, 0, 1, 0
26.84682, 0, 1, 0
26.86366, 0, 1, 0
26.88045, 0, 1, 0
26.89843, 0, 1, 0
26.91417, 0, 1, 0
26.9306, 0, 1, 0
26.94795, 0, 1, 0
26.96409, 0, 1, 0
26.98037, 0, 1, 0
26.99685, 0, 1, 0
27.01434, 0, 1, 0
27.03031, 0, 1, 0
27.04749, 0, 1, 0
27.06366, 0, 1, 0
27.08085, 0, 1, 0
27.09687, 0, 1, 0
27.11405, 0, 1, 0
27.13014, 0, 1, 0
27.14749, 0, 1, 0
27.16348, 0, 1, 0
27.18033, 0, 1, 0
27.197, 0, 1, 0
27.21393, 0.05078275, 1, 0
27.23052, 0.1005647, 1, 0
27.24699, 0.1499714, 1, 0
27.26418, 0.2015212, 1, 0
27.28049, 0.2504493, 1, 0
27.29723, 0.3006765, 1, 0
27.31406, 0.2501929, 1, 0
27.33054, 0.2007275, 1, 0
27.3472, 0.1507517, 1, 0
27.3637, 0.1012599, 1, 0
27.38027, 0.05155893, 1, 0
27.39701, 0.001325104, 1, 0
27.41365, 0, 1, 0
27.43026, 0, 1, 0
27.44725, 0, 1, 0
27.46343, 0, 1, 0
27.4807, 0, 1, 0
27.49741, 0, 1, 0
27.51371, 0, 1, 0
27.53028, 0, 1, 0
27.54714, 0, 1, 0
27.56381, 0, 1, 0
27.58045, 0, 1, 0
27.59704, 0, 1, 0
27.61365, 0, 1, 0
27.63053, 0, 1, 0
27.6471, 0, 1, 0
27.66413, 0.05107676, 1, 0
27.68073, 0.1008918, 1, 0
27.69816, 0.1531741, 1, 0
27.71413, 0.2010712, 1, 0
27.73025, 0.2494346, 1, 0
27.74703, 0.2997673, 1, 0
27.76343, 0.3489882, 1, 0
27.78015, 0.3991315, 1, 0
27.79677, 0.4489978, 1, 0
27.81347, 0.4990967, 1, 0
27.8301, 0.5489954, 1, 0
27.84703, 0.5997965, 1, 0
27.86374, 0.6499257, 1, 0
27.88034, 0.6997082, 1, 0
27.89701, 0.7497276, 1, 0
27.91366, 0.7996744, 1, 0
27.93055, 0.8503471, 1, 0
27.94695, 0.8995451, 1, 0
27.96368, 0.9497313, 1, 0
27.98033, 0.9996836, 1, 0
27.99777, 1, 1, 0
28.01369, 1, 1, 0
28.0304, 1, 1, 0
28.04717, 1, 1, 0
28.06374, 1, 1, 0
28.08047, 1, 1, 0
28.09726, 1, 1, 0
28.11363, 1, 1, 0
28.13145, 1, 1, 0
28.14735, 1, 1, 0
28.16478, 1, 1, 0
28.18067, 1, 1, 0
28.19696, 1, 1, 0
28.21393, 1, 1, 0
28.23048, 0.95037, 1, 0
28.24706, 0.9006108, 1, 0
28.26369, 0.8507367, 1, 0
28.28029, 0.8009304, 1, 0
28.297, 0.7508011, 1, 0
28.31366, 0.7008075, 1, 0
28.33041, 0.6505564, 1, 0
28.34707, 0.6005944, 1, 0
28.36377, 0.5504961, 1, 0
28.38037, 0.5006707, 1, 0
28.39695, 0.4509434, 1, 0
28.41346, 0.4014258, 1, 0
28.43013, 0.3514204, 1, 0
28.44705, 0, 1, 0
28.46349, -0.04931892, 1, 0
28.48014, -0.09925546, 1, 0
28.49679, -0.1492166, 1, 0
28.51354, -0.199457, 1, 0
28.53023, -0.2495347, 1, 0
28.54693, -0.299624, 1, 0
28.56371, -0.3499736, 1, 0
28.58032, -0.3997995, 1, 0
28.59676, -0.4491244, 1, 0
28.61338, -0.4989855, 1, 0
28.63025, -0.549584, 1, 0
28.64688, -0.5994845, 1, 0
28.66361, -0.6496803, 1, 0
28.68011, -0.6991773, 1, 0
28.69685, -0.7493902, 1, 0
28.71348, -0.7992911, 1, 0
28.73021, -0.8494806, 1, 0
28.74688, -0.8994923, 1, 0
28.76346, -0.9492338, 1, 0
28.78036, -0.9999334, 1, 0
28.79684, -0.9505028, 1, 0
28.81368, -0.8999735, 1, 0
28.83009, -0.8507529, 1, 0
28.84681, -0.8005983, 1, 0
28.86361, -0.7501932, 1, 0
28.88033, -0.7000244, 1, 0
28.89697, -0.6501082, 1, 0
28.91343, -0.6007336, 1, 0
28.93024, -0.5503135, 1, 0
28.94681, -0.5006047, 1, 0
28.96368, -0.4499873, 1, 0
28.98015, -0.4005786, 1, 0
28.99682, -0.3505723, 1, 0
29.01354, -0.30041, 1, 0
29.03026, -0.2502317, 1, 0
29.04696, -0.200139, 1, 0
29.06342, -0.15076, 1, 0
29.08018, -0.1004934, 1, 0
29.09688, -0.05038173, 1, 0
29.11364, -0.0001146011, 1, 0
29.13046, 0, 1, 0
29.14698, 0, 1, 0
29.16348, 0, 1, 0
29.18026, 0, 1, 0
29.19695, 0, 1, 0
29.21358, 0, 1, 0
29.23044, 0, 1, 0
29.24705, 0, 1, 0
29.26375, 0, 1, 0
29.28031, 0, 1, 0
29.29697, 0, 1, 0
29.3136, 0, 1, 0
29.33042, 0, 1, 0
29.34703, 0, 1, 0
29.36367, 0, 1, 0
29.38037, 0, 1, 0
29.39698, 0, 1, 0
29.41382, -0.05051877, 1, 0
29.43049, -0.1005278, 1, 0
29.44707, -0.1502693, 1, 0
29.46365, -0.2000028, 1, 0
29.48046, -0.2504352, 1, 0
29.49707, -0.3002784, 1, 0
29.51367, -0.3500559, 1, 0
29.53031, -0.3999971, 1, 0
29.54702, -0.4501179, 1, 0
29.56353, -0.4996441, 1, 0
29.58026, -0.4494607, 1, 0
29.59681, -0.3998099, 1, 0
29.61342, -0.3499822, 1, 0
29.63032, -0.2992871, 1, 0
29.64695, -0.2493919, 1, 0
29.66356, -0.1995626, 1, 0
29.68041, -0.149015, 1, 0
29.69696, -0.09935114, 1, 0
29.71365, -0.04929807, 1, 0
29.73022, 0, 1, 0
29.74693, 0, 1, 0
29.76348, 0, 1, 0
29.77999, 0, 1, 0
29.79679, 0, 1, 0
29.81343, 0, 1, 0
29.83022, 0, 1, 0
29.847, 0, 1, 0
29.8637, 0, 1, 0
29.88028, 0, 1, 0
29.89706, 0, 1, 0
29.91364, 0, 1, 0
